Query ID,Predicted Cardinality
0,81342
1,2051
2,1851457
3,1524146
4,1753263
5,730
6,31
7,990729
8,48412
9,3869387
10,67
11,439220
12,26789622
13,10219680
14,605484
15,943127
16,110512
17,2139426
18,12934
19,33115
20,701
21,3600604
22,52618472
23,42
24,73751
25,3265353
26,11874
27,64
28,155
29,12511
30,409431
31,22938
32,23111682
33,3271163
34,5
35,524
36,14702114
37,1899778
38,3923038
39,19547252
40,3536164
41,885274
42,1123404
43,139
44,192591
45,30
46,36
47,22
48,291
49,4813515
50,801631
51,23332834
52,23326738
53,169863
54,13594899
55,747474
56,2608426
57,945921
58,46847
59,375510
60,136735
61,176516
62,3773623
63,6855
64,146
65,27
66,144543
67,46123
68,239125
69,570666
70,3797414
71,110016
72,28
73,1026466
74,24341802
75,192
76,2553178
77,17252858
78,28845802
79,9227008
80,2442
81,832
82,17392984
83,54550
84,21040
85,48450
86,14135
87,44814228
88,327
89,3372736
90,4203534
91,495691
92,355449
93,91832
94,43515
95,5365754
96,2925314
97,153
98,16343062
99,29
100,59428
101,147352
102,103
103,2691
104,976213
105,40
106,23292192
107,483220
108,27413518
109,1088724
110,29
111,25
112,424085
113,586637
114,893890
115,6947503
116,65
117,15146
118,22596
119,304971
120,25
121,3817232
122,2192081
123,51
124,4838284
125,527131
126,11518294
127,660388
128,14766
129,4378
130,137778
131,1282150
132,4898
133,1147625
134,186
135,758110
136,26
137,367990
138,5202422
139,221185
140,136614
141,2004894
142,15
143,6645
144,613
145,2801127
146,1235604
147,1593608
148,107
149,5367790
150,143673
151,1785780
152,204514288
153,57626
154,803585
155,9443424
156,81304872
157,224329
158,234959
159,62
160,2600719
161,1495202
162,51845
163,1307791
164,2245418
165,7774382
166,10840080
167,23490956
168,10964577
169,34
170,33236
171,9643372
172,368617
173,1632394
174,1650775
175,356
176,114
177,8290969
178,68241
179,1261283
180,7669590
181,2408134
182,62
183,175673
184,11129344
185,99318760
186,445721
187,1143505
188,64821
189,3908
190,60119468
191,21105730
192,5064148
193,5
194,45
195,129125
196,29339536
197,10305
198,56
199,145192
200,2
201,3843510
202,2283568
203,422035
204,58808068
205,23107052
206,14
207,670
208,15252364
209,10251776
210,489
211,5450309
212,23
213,200040
214,9309
215,101
216,732
217,1192574
218,12162147
219,1359
220,241
221,132
222,2017
223,2469521
224,105568
225,69560720
226,25099
227,608
228,44
229,12720029
230,1727390
231,1973052
232,248
233,546610
234,2745736
235,3660
236,656886
237,19994360
238,20791
239,6576829
240,6496
241,101940264
242,19
243,35270
244,1276013
245,246355
246,1751841
247,442299
248,2301226
249,3088
250,31554
251,89101
252,100
253,1056596
254,1910460
255,4982018
256,84
257,3188458
258,56522700
259,455190
260,331481
261,662429
262,513157
263,533
264,1465066
265,278527
266,82142704
267,9681022
268,223737
269,14
270,2515940
271,1509483
272,1022830
273,13826620
274,22727
275,121390464
276,2255702
277,370361
278,333
279,16217116
280,24
281,384321
282,43
283,366
284,684354
285,21390308
286,8032
287,125498
288,127281
289,577216
290,287978
291,111
292,41458720
293,882143
294,2420
295,14
296,749909
297,1693098
298,1926678
299,303
300,25118470
301,26
302,28062
303,355525
304,137276
305,6311
306,49
307,30260426
308,2113704
309,1293726
310,2302662
311,203
312,8
313,542614
314,466438
315,22554692
316,159
317,258603
318,13
319,2031
320,2
321,200093
322,15478908
323,165320
324,10
325,658434
326,115309
327,42
328,6
329,69
330,830698
331,995828
332,377741
333,618706
334,270410
335,33
336,72840
337,164687
338,4000932
339,47
340,3397982
341,418868
342,174270960
343,180
344,44
345,84
346,940802
347,10019
348,569622
349,394
350,314142
351,2239248
352,355905
353,457725
354,724167
355,905882
356,45
357,126705896
358,1807052
359,3118812
360,103641
361,135513
362,549598
363,83135232
364,2078550
365,1068805
366,410980
367,90244160
368,8776170
369,28432242
370,513684
371,40
372,11241
373,224502
374,105662
375,4839762
376,812
377,1381110
378,23880142
379,3
380,644
381,65
382,21236362
383,8225318
384,3378836
385,10
386,49040848
387,511859
388,1736636
389,1786
390,458939
391,17357822
392,12414756
393,327
394,23594414
395,7
396,510
397,22054
398,1152370
399,92886384
400,384650
401,1760
402,40895
403,6239
404,35
405,985812
406,9942447
407,25054
408,11413953
409,11284
410,18419456
411,1756
412,698565
413,158
414,829010
415,173017
416,568429
417,6177900
418,17767824
419,691019
420,4083704
421,239905
422,27165
423,45
424,321747
425,2865971
426,23833
427,10
428,28759
429,172
430,2447
431,1614624
432,10
433,4261
434,23666
435,4390164
436,10615806
437,215137
438,9020642
439,9008177
440,178
441,25084
442,21
443,55
444,3629726
445,1229791
446,226714
447,169438
448,3351689
449,428005
450,20
451,316
452,5350005
453,7916407
454,2723
455,2657814
456,5667706
457,60099
458,313216
459,39341
460,369525
461,2158782
462,99025
463,1674369
464,350797
465,9536
466,2740765
467,22
468,33
469,12
470,1884388
471,629300
472,70388
473,4
474,3446316
475,18
476,3160226
477,8087988
478,380019
479,1998448
480,458
481,3143513
482,3435
483,6780464
484,124063
485,1661922
486,167
487,329718
488,32
489,26573
490,5142
491,46
492,132329
493,30
494,455
495,789683
496,283287
497,51836
498,36
499,5947
500,17818084
501,28293
502,238
503,192
504,21985450
505,77805
506,4944
507,5579
508,64
509,587202
510,46
511,9
512,3997114
513,2530301
514,3110967
515,1094534
516,409973
517,1289078
518,31282748
519,356184
520,90
521,774
522,5265
523,15
524,606245
525,5390
526,34
527,82191
528,1815231
529,19194
530,368427
531,16333245
532,16761449
533,20592
534,1098688
535,36386556
536,12
537,231359
538,26497622
539,2776846
540,21
541,151410112
542,60542124
543,1249662
544,9
545,258
546,237961
547,256273
548,1054699
549,246
550,212
551,26467
552,838467
553,226118
554,8
555,4722646
556,62876
557,7575778
558,264725
559,256893
560,265
561,69285
562,34373
563,5268548
564,3816387
565,34214
566,3884850
567,8608591
568,7
569,4054174
570,11332951
571,45
572,185329
573,650030
574,65272
575,415309
576,7346196
577,1388359
578,84652
579,1009
580,15
581,647944
582,1521595
583,1768253
584,55971
585,3319788
586,16895392
587,989392
588,5859888
589,1841
590,2146306
591,376713
592,28388
593,5516790
594,59
595,140340
596,63624
597,832338
598,194033
599,38
600,44
601,966256
602,1140886
603,2846101
604,427658
605,1393306
606,65197352
607,8773744
608,9781660
609,399106
610,9206
611,91488704
612,14801
613,42
614,1142
615,811877
616,172497
617,20
618,34366
619,6763801
620,5029
621,7037
622,100484
623,55
624,78013
625,688908
626,7501275
627,200327
628,2060232
629,617991
630,1085515
631,30
632,23496736
633,21
634,1068
635,52486060
636,76328464
637,22670
638,18114
639,1147498
640,7766
641,710451
642,1158
643,327236
644,12357443
645,1229562
646,411694
647,57448
648,2748132
649,2
650,3230
651,13
652,4697196
653,320077
654,37369
655,30816
656,96
657,8908749
658,26
659,45
660,311880
661,600890
662,108
663,878532
664,3497491
665,823680
666,2326379
667,219577
668,185
669,186
670,23750
671,401731
672,246
673,3479423
674,60
675,51193420
676,1190062
677,12522
678,106159520
679,1051980
680,28
681,5
682,4395505
683,238
684,5557721
685,7738210
686,43692
687,33
688,1231672
689,387000
690,507521
691,402749
692,20408050
693,605377
694,41
695,29094
696,34243544
697,7763068
698,1765429
699,126189048
700,5064235
701,440166
702,406542
703,34
704,1797443
705,20
706,131880
707,2065046
708,4924146
709,336819
710,3204532
711,582866
712,385419
713,112449
714,1829
715,5540
716,70132248
717,7015
718,520
719,20247496
720,968452
721,874057
722,17886490
723,78
724,30194356
725,9905254
726,10621417
727,4554486
728,103681752
729,2049524
730,1937638
731,1048343
732,65
733,2555492
734,17572
735,355976
736,337034
737,2116582
738,26166
739,131
740,2783769
741,2591207
742,6232122
743,46143136
744,36044292
745,10693741
746,123
747,29
748,3442354
749,7522
750,391817
751,42
752,1418294
753,232
754,8073807
755,194
756,1112
757,256417
758,3702979
759,186
760,361719
761,1809175
762,406218
763,943257
764,22
765,3249789
766,11880
767,194
768,41671
769,8299
770,154985
771,1789764
772,14842175
773,10
774,25850304
775,8
776,74751
777,3446296
778,4694124
779,3178
780,3448798
781,73
782,1434248
783,47783724
784,60783252
785,1093147
786,3210531
787,1347388
788,1185740
789,1282403
790,171516128
791,44
792,3528730
793,32711
794,270020
795,73909
796,89804
797,142
798,326000
799,87149
800,280384
801,4978
802,70405
803,4865
804,520813
805,4860456
806,630744
807,4318916
808,68
809,1014859
810,410382
811,193493
812,11374357
813,152979392
814,129725
815,2719486
816,43
817,2026
818,922363
819,1750
820,776184
821,2116460
822,210407
823,11998966
824,8
825,52818872
826,83997520
827,3342652
828,1149934
829,27374
830,4364
831,5507786
832,1889285
833,107598
834,27826796
835,29
836,3049288
837,25738132
838,61987180
839,71169
840,60861
841,39584868
842,16301
843,1645
844,529308
845,348961
846,154
847,1517112
848,5845052
849,4984352
850,984555
851,57
852,14136701
853,174039
854,511244
855,260883
856,25025028
857,12560
858,2740112
859,88146
860,69381568
861,2
862,15
863,130155480
864,54805632
865,7571
866,321860
867,809286
868,6087180
869,32201674
870,28050714
871,61529
872,3026021
873,997936
874,1793492
875,7804006
876,197575
877,44816964
878,353557
879,180430
880,7512464
881,9282
882,4001
883,50460
884,759050
885,439945
886,773677
887,3844702
888,3002718
889,213803
890,34
891,184864
892,2063498
893,46526
894,53
895,4452508
896,2369
897,3139654
898,2137266
899,59
900,3635199
901,24
902,64533
903,261
904,32484
905,24
906,994352
907,2376102
908,1214826
909,7378
910,60
911,23544828
912,640
913,77765208
914,460956
915,270
916,781467
917,84
918,3261596
919,3120
920,2834
921,397071
922,1938340
923,195033
924,2069916
925,843470
926,363366
927,40416
928,144
929,3673580
930,1186022
931,1057416
932,22
933,2216597
934,247
935,238972848
936,94225
937,23
938,814509
939,41839552
940,1404126
941,212
942,584
943,240009
944,87
945,161
946,42
947,28929826
948,134120
949,1405538
950,3912562
951,19
952,626991
953,703473
954,23147
955,88
956,19201
957,581
958,627522
959,500
960,2560010
961,3940
962,289429
963,524
964,2144332
965,103
966,4505332
967,1806434
968,4452614
969,82
970,1374388
971,912974
972,1044905
973,5767944
974,19306812
975,777
976,1100
977,423695
978,2
979,1888
980,1214908
981,3481852
982,3388514
983,2038474
984,9013247
985,20252
986,770721
987,284
988,379439
989,4587143
990,784
991,756856
992,2644275
993,1360724
994,4230398
995,348301
996,79971
997,24
998,1830698
999,10242
1000,1077393
1001,10507709
1002,1416880
1003,1283
1004,1200197
1005,11986294
1006,1365628
1007,421
1008,160042
1009,992629
1010,472
1011,157
1012,546434
1013,5193851
1014,6684
1015,2512
1016,1254
1017,27088
1018,44447
1019,899629
1020,1205812
1021,318
1022,3252365
1023,275265
1024,66951
1025,936506
1026,29
